epoch,train_loss,val_auc,lr
1,0.2965481620253497,0.8277551020408163,0.001
2,0.2414142321084292,0.8427210884353742,0.001
3,0.234005808981927,0.8568707482993198,0.001
4,0.22710963279843027,0.876734693877551,0.001
5,0.2138286340630995,0.8843537414965986,0.001
6,0.20668901294545666,0.9020408163265307,0.001
7,0.19831714147829826,0.894421768707483,0.001
8,0.19401122413518776,0.9001360544217687,0.001
9,0.18914555085221016,0.9140136054421769,0.001
10,0.18183399156759714,0.9183673469387754,0.001
11,0.177690107858818,0.924625850340136,0.001
12,0.18201147827483316,0.9238095238095237,0.001
13,0.1894261662589988,0.9216326530612244,0.001
14,0.16891993248584009,0.9175510204081633,0.001
15,0.17616371814227894,0.9053061224489796,0.001
16,0.16745524260075645,0.9145578231292516,0.001
17,0.16277569399686867,0.9393197278911564,0.001
18,0.15764381863537028,0.9276190476190476,0.001
19,0.151602238265006,0.9292517006802721,0.001
20,0.1500083760147483,0.922721088435374,0.001
21,0.1543257948551469,0.9189115646258503,0.001
22,0.15496623034543966,0.9180952380952381,0.001
23,0.14520074408169617,0.9161904761904762,0.001
24,0.1419725673078884,0.9306122448979591,0.001
25,0.14016513765313243,0.9251700680272108,0.001
26,0.13389663936679297,0.9210884353741495,0.001
27,0.13932761102535646,0.9208163265306122,0.001
28,0.1314307211805846,0.9224489795918367,0.0005
29,0.13598289327463728,0.9287074829931973,0.0005
30,0.12467318610228958,0.9308843537414967,0.0005
31,0.1276513490513081,0.9368707482993197,0.0005
32,0.12199907895869577,0.9322448979591837,0.0005
33,0.12111086658090732,0.9281632653061225,0.0005
34,0.11890400407726831,0.9330612244897959,0.0005
35,0.11359980660692123,0.9308843537414966,0.0005
36,0.11394072481390781,0.9300680272108843,0.0005
37,0.12266828976666351,0.9322448979591837,0.0005
38,0.10779739430994174,0.9336054421768708,0.0005
39,0.11356070925867891,0.937687074829932,0.00025
40,0.11552915316425813,0.9336054421768708,0.00025
41,0.11107600561838417,0.9355102040816327,0.00025
42,0.11107716574772017,0.9327891156462585,0.00025
43,0.10349235761408285,0.9341496598639456,0.00025
44,0.10870222516035609,0.933877551020408,0.00025
45,0.1060626826441015,0.9336054421768708,0.00025
46,0.10774594988986735,0.9352380952380953,0.00025
47,0.1005650337396839,0.9346938775510203,0.00025
