,,test_roc_auc,test_roc_auc,test_pr_auc,test_pr_auc,test_balanced_accuracy,test_balanced_accuracy,test_f1,test_f1,test_mcc,test_mcc
,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,model,,,,,,,,,,
b3db,gat,0.8841,0.0076,0.9185,0.0142,0.7755,0.0283,0.8078,0.0497,0.5727,0.0361
b3db,gcn,0.8798,0.007,0.9148,0.0191,0.7766,0.0137,0.8114,0.0346,0.5573,0.0157
b3db,gin,0.8913,0.0093,0.9212,0.0223,0.7811,0.0206,0.8136,0.0311,0.5673,0.0403
b3db,sage,0.8913,0.0038,0.9245,0.0143,0.7594,0.0561,0.807,0.0372,0.5466,0.0608
bbbp,gat,0.9358,0.0453,0.9728,0.0218,0.852,0.0603,0.9029,0.0234,0.6668,0.1135
bbbp,gcn,0.9358,0.0151,0.9754,0.0034,0.8438,0.0235,0.8945,0.0102,0.647,0.0533
bbbp,gin,0.9232,0.0364,0.9657,0.0181,0.8344,0.0204,0.855,0.0312,0.6051,0.0234
bbbp,sage,0.9293,0.0248,0.9732,0.0082,0.8493,0.0304,0.8723,0.0433,0.6423,0.059
