epoch,train_loss,val_auc,lr
1,0.2897126545736201,0.8445180279617366,0.001
2,0.23950389630466928,0.870345842531273,0.001
3,0.2306724949799118,0.8810890360559235,0.001
4,0.2206674119974214,0.9026490066225166,0.001
5,0.2238002959022692,0.8991169977924945,0.001
6,0.20211053713587404,0.9107431935246505,0.001
7,0.1874283637102627,0.9298749080206034,0.001
8,0.19332167729924957,0.9169242089771892,0.001
9,0.18482720184568838,0.9315673289183223,0.001
10,0.17901390999479755,0.9339955849889624,0.001
11,0.17074829347564366,0.9297277409860191,0.001
12,0.17228266177817458,0.9284032376747609,0.001
13,0.16312484742727595,0.9291390728476822,0.001
14,0.16551729187407263,0.934289919058131,0.001
15,0.15995069868085343,0.931420161883738,0.001
16,0.1598623021868349,0.9261221486387049,0.001
17,0.14486960715995795,0.9334069168506254,0.001
18,0.16204428803602247,0.9308314937454011,0.001
19,0.16124907001360075,0.9386313465783664,0.001
20,0.16282405387657592,0.9208977189109641,0.001
21,0.14977234165935419,0.9220750551876379,0.001
22,0.14458988041974813,0.9344370860927154,0.001
23,0.14282122561494812,0.9281089036055923,0.001
24,0.13360529205271307,0.9323031640912436,0.001
25,0.12741456990326938,0.9343635025754232,0.001
26,0.1266177332279943,0.9323767476085357,0.001
27,0.12534620360715396,0.9329654157468728,0.001
28,0.1272446308806349,0.934289919058131,0.001
29,0.12548651369928404,0.936644591611479,0.001
30,0.12617003781194905,0.9325239146431199,0.0005
31,0.11735740049953072,0.9332597498160412,0.0005
32,0.11315764187249822,0.931935246504783,0.0005
33,0.11109571126656981,0.9359823399558499,0.0005
34,0.1063502240385718,0.9318616629874908,0.0005
35,0.11025824361781734,0.9364238410596025,0.0005
36,0.11084310134100246,0.9358351729212656,0.0005
37,0.12034882032537582,0.9328182487122884,0.0005
38,0.10084269155982796,0.9317880794701987,0.0005
39,0.10473071628323645,0.9341427520235468,0.0005
40,0.10787892785236125,0.9363502575423106,0.0005
41,0.10415583797766052,0.9313465783664459,0.00025
42,0.1030609469680689,0.931420161883738,0.00025
43,0.09662314551780546,0.9358351729212656,0.00025
44,0.10008371151206451,0.9320824135393672,0.00025
45,0.10291517342016594,0.9322295805739516,0.00025
46,0.09668493333436151,0.9288447387785136,0.00025
47,0.09512858699447933,0.9300956585724797,0.00025
48,0.10102498030844535,0.9307579102281089,0.00025
49,0.09684273132310266,0.9339220014716703,0.00025
