epoch,train_loss,val_auc,lr
1,0.2946018365806599,0.8220408163265307,0.001
2,0.23697412893668993,0.8231292517006802,0.001
3,0.22096099865648886,0.8906122448979593,0.001
4,0.21333741042146853,0.8827210884353742,0.001
5,0.2105808749453712,0.8960544217687075,0.001
6,0.20202783182377124,0.8925170068027211,0.001
7,0.1966334862715112,0.906938775510204,0.001
8,0.17921855943348572,0.9020408163265304,0.001
9,0.19333341414388505,0.8783673469387755,0.001
10,0.1733973320886379,0.9210884353741496,0.001
11,0.19404807743680386,0.912108843537415,0.001
12,0.17101875241400327,0.9039455782312925,0.001
13,0.16411936248986775,0.9259863945578232,0.001
14,0.1585763050930494,0.9164625850340135,0.001
15,0.17024535687673487,0.90421768707483,0.001
16,0.1558436511354592,0.9178231292517007,0.001
17,0.15932446020553434,0.9159183673469388,0.001
18,0.15094836894185792,0.9159183673469389,0.001
19,0.14994284461321114,0.9292517006802721,0.001
20,0.1465710572917346,0.9327891156462585,0.001
21,0.1533862586315655,0.9221768707482992,0.001
22,0.13993699016386013,0.9053061224489796,0.001
23,0.13764505198286994,0.9042176870748299,0.001
24,0.1395910259231963,0.9085714285714286,0.001
25,0.13123353003848903,0.8974149659863946,0.001
26,0.15084564973986483,0.9197278911564626,0.001
27,0.12385726464158706,0.9178231292517006,0.001
28,0.1288384281800297,0.9039455782312926,0.001
29,0.12464698205012402,0.9053061224489796,0.001
30,0.1216806076448079,0.908843537414966,0.001
31,0.1266031802913918,0.8936054421768708,0.0005
32,0.11594086299643262,0.9072108843537415,0.0005
33,0.10748566638763624,0.9178231292517007,0.0005
34,0.10352020625394719,0.9069387755102041,0.0005
35,0.10629125390647325,0.912108843537415,0.0005
36,0.10324385690173424,0.9142857142857141,0.0005
37,0.10991467698536453,0.9077551020408163,0.0005
38,0.1128706603142748,0.9012244897959183,0.0005
39,0.0997817240295216,0.9088435374149659,0.0005
40,0.10714167980216538,0.9107482993197279,0.0005
41,0.10326832914890831,0.9077551020408163,0.0005
42,0.09153821977191906,0.9028571428571429,0.00025
43,0.09476306878087175,0.907482993197279,0.00025
44,0.10087502768628166,0.9172789115646258,0.00025
45,0.0941234740402559,0.9066666666666666,0.00025
46,0.08825520498076164,0.9142857142857144,0.00025
47,0.095400421162143,0.9085714285714286,0.00025
48,0.09318036263756473,0.9112925170068027,0.00025
49,0.09775199936394777,0.9115646258503401,0.00025
50,0.08452698798807523,0.9104761904761904,0.00025
