epoch,train_loss,val_auc,lr
1,0.3541792916190082,0.9084395379848871,0.001
2,0.3038760987059723,0.9115576755942706,0.001
3,0.2758647233992338,0.9256291008485316,0.001
4,0.26987135589771893,0.9159297025827466,0.001
5,0.2574474729650071,0.9181522049213499,0.001
6,0.24840011940714185,0.9218143580285407,0.001
7,0.24611607055531184,0.9213831262314985,0.001
8,0.24040826425805908,0.9237847556242577,0.001
9,0.23252309265998142,0.9263190717237992,0.001
10,0.22970466136283252,0.9234762590309891,0.001
11,0.2217540307105313,0.9294173063271656,0.001
12,0.22426817861602216,0.9167855318414926,0.001
13,0.21861070309557418,0.9158633592293557,0.001
14,0.2105960791058299,0.9345257445382835,0.001
15,0.20851927022953815,0.9291718359196184,0.001
16,0.2112449765739954,0.9284354246969767,0.001
17,0.2079892251008142,0.9260536983102348,0.001
18,0.20206463638595248,0.9266541056584245,0.001
19,0.1937951976236512,0.9269028932336413,0.001
20,0.2006679516832161,0.9266640571614333,0.001
21,0.1914594294187123,0.9226071611015652,0.001
22,0.1916281085206025,0.9248396149431769,0.001
23,0.190136475566104,0.924673756559699,0.001
24,0.1923240727048742,0.9122575979725471,0.001
25,0.1906612895472091,0.9214295665788723,0.0005
26,0.17291101983233495,0.921986850747358,0.0005
27,0.17085994059347634,0.925310652752254,0.0005
28,0.16261546166755694,0.9247400999130901,0.0005
29,0.161975829017842,0.9237349981092146,0.0005
30,0.16206073518042988,0.9237515839475622,0.0005
31,0.16244535787242256,0.9295367243632697,0.0005
32,0.1602865632988565,0.9304058222926935,0.0005
33,0.1595156037801737,0.9274999834141616,0.0005
34,0.15459583650064498,0.927632670120944,0.0005
35,0.15401975046855224,0.924030226031805,0.0005
36,0.1519536488116131,0.9227597508143647,0.00025
37,0.14497975054305,0.9268365498802503,0.00025
38,0.1401404584116618,0.9250452793386894,0.00025
39,0.13781422913112676,0.9261465790049823,0.00025
40,0.13891657328735477,0.9238975393250228,0.00025
41,0.13472156933986706,0.9257949592320094,0.00025
42,0.13780170179841458,0.9224910602331305,0.00025
43,0.14089794197310093,0.9274071027194141,0.00025
44,0.13351063728618898,0.925274163907889,0.00025
