epoch,train_loss,val_auc,lr
1,0.377960945267772,0.8771833699833052,0.001
2,0.3213926193081821,0.8918813570540777,0.001
3,0.2921501558457789,0.8977723190974546,0.001
4,0.27352573787990403,0.8967426877790117,0.001
5,0.2745239787343066,0.8981694626059968,0.001
6,0.263967728486892,0.8990152311890035,0.001
7,0.265309024322957,0.9126210736112846,0.001
8,0.25542301695595787,0.906553603341889,0.001
9,0.24558773473582918,0.9114075795574057,0.001
10,0.2464808715336755,0.9103558847107103,0.001
11,0.2384605614001899,0.9160776930374859,0.001
12,0.23653810286583005,0.922314317023483,0.001
13,0.23387660126247747,0.9168866890734053,0.001
14,0.2347035024656385,0.9214023578557191,0.001
15,0.22963700454484035,0.9203065359525194,0.001
16,0.22271564690674214,0.9214464849122239,0.001
17,0.21922252878479895,0.9251752211868707,0.001
18,0.22196297485961278,0.9028616396143294,0.001
19,0.21866386029141444,0.9262931066183229,0.001
20,0.2132801536773734,0.9271021026542424,0.001
21,0.21666614364768205,0.9166513447720469,0.001
22,0.21458873515477325,0.9174897588456362,0.001
23,0.2097334736131232,0.9122239301027425,0.001
24,0.21076397496603147,0.9228070691544521,0.001
25,0.20679984804455245,0.9221378087974642,0.001
26,0.20665324281263933,0.9284921049341402,0.001
27,0.2072978731457199,0.9165483816402027,0.001
28,0.2013934394207465,0.9182693368438859,0.001
29,0.19951284220018575,0.9215641570629031,0.001
30,0.19189170249221724,0.924020563208331,0.001
31,0.19214652006172508,0.9179273521559743,0.001
32,0.19725533420653163,0.9231747946253246,0.001
33,0.18964950655378798,0.9216891837229998,0.001
34,0.18998168237044366,0.9333534356590742,0.001
35,0.19023792312971527,0.9229247413051314,0.001
36,0.18555350268520965,0.9295290907620007,0.001
37,0.1886009586441601,0.9221010362503768,0.001
38,0.1850803094288999,0.9278007810489001,0.001
39,0.18239108666367138,0.9236307742092063,0.001
40,0.17926875895639782,0.9290878201969538,0.001
41,0.1809967109774795,0.933706452111112,0.001
42,0.17905647596398047,0.9325150215854852,0.001
43,0.17388985766614576,0.9335225893756757,0.001
44,0.17488763118156786,0.9301100970059791,0.001
45,0.1733716318263296,0.9201851865471313,0.001
46,0.17175235697124952,0.9239323090953218,0.001
47,0.17235699975666216,0.9219318825337757,0.001
48,0.17068643340080844,0.9306984577593751,0.001
49,0.17305115321597406,0.9295290907620006,0.001
50,0.17041590802185358,0.9315736443800516,0.001
51,0.1637164030145331,0.9276389818417163,0.001
52,0.16839315229161744,0.9261313074111391,0.0005
53,0.16084394934733354,0.9207183884798965,0.0005
54,0.15521945904112258,0.9214979664781461,0.0005
55,0.15333646077669866,0.9235057475491097,0.0005
56,0.15269771477948543,0.9238881820388172,0.0005
57,0.153753400259412,0.9262342705429834,0.0005
58,0.1514445016164187,0.9292863919512249,0.0005
59,0.14824162033660376,0.9285362319906452,0.0005
60,0.15242935675103875,0.9294996727243309,0.0005
61,0.14875735345366367,0.9322208412087871,0.0005
62,0.1462666292094329,0.9315662898706342,0.0005
63,0.15242517298513464,0.9306837487405403,0.00025
64,0.14788374479461525,0.9279184531995794,0.00025
65,0.14147937445782607,0.9264475513160895,0.00025
66,0.1390542319040891,0.9258738995815284,0.00025
67,0.14100107090031008,0.9271682932389995,0.00025
68,0.13907939105901407,0.928859830405013,0.00025
69,0.13976722491295349,0.9295952813467578,0.00025
70,0.13660034422764483,0.9257084231196359,0.00025
71,0.1436313766076884,0.9249766494325996,0.00025
