dataset,model,seed,n_parameters,best_epoch,epochs_run,train_seconds,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_mcc
bbbp,gine,0,123836,14,44,31.7,0.9559002433090025,0.9780445769927931,0.8644768856447689,0.6783550011164569
bbbp,gine,1,123836,38,68,48.9,0.9407092198581559,0.9792,0.8489,0.6376
bbbp,gine,2,123836,20,50,35.7,0.9416712630998345,0.98,0.8714,0.6613
b3db,gine,0,123836,14,44,151.7,0.8779183535762484,0.9152,0.7823,0.5565
