dataset,model,seed,n_parameters,best_epoch,epochs_run,train_seconds,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_mcc
b3db,dmpnn,0,77825,27,57,216.0,0.8917273954116058,0.91726843708884,0.7911504723346829,0.8338692390139335,0.5886750307538844
b3db,dmpnn,1,77825,39,69,266.5,0.8964314391396491,0.9067874098046252,0.7920335926496334,0.7929292929292929,0.5833075350767297
b3db,dmpnn,2,77825,12,42,155.3,0.8781130821680342,0.931845016431071,0.7463632555183173,0.8550458715596331,0.5378314684892459
bbbp,dmpnn,0,77825,20,50,41.9,0.9478710462287105,0.9759273504081827,0.8973236009732359,0.9111969111969112,0.7531816320331836
bbbp,dmpnn,1,77825,38,68,58.7,0.934468085106383,0.9773125627027857,0.8521985815602837,0.8982456140350877,0.6464715657408593
bbbp,dmpnn,2,77825,46,76,66.4,0.9451185879757308,0.9815273494343131,0.8543160507446221,0.8880866425992779,0.6443182140537237
