epoch,train_loss,val_auc,lr
1,0.2912510817363365,0.8469618055555556,0.001
2,0.23368053233047176,0.8591145833333333,0.001
3,0.22676950571797883,0.8846354166666666,0.001
4,0.2056676765131283,0.8589409722222222,0.001
5,0.1938607211938038,0.88203125,0.001
6,0.1837497064630494,0.8828993055555556,0.001
7,0.1749290742416115,0.8834201388888889,0.001
8,0.16284770368771395,0.8950520833333333,0.001
9,0.1728837808579889,0.8894965277777778,0.001
10,0.16967336784185647,0.844357638888889,0.001
11,0.15737263213738836,0.9254340277777777,0.001
12,0.15415161231926075,0.8940104166666668,0.001
13,0.14935307212306645,0.908420138888889,0.001
14,0.14210707927478178,0.9030381944444443,0.001
15,0.13698304869215605,0.9230034722222222,0.001
16,0.14143812523695046,0.9332465277777776,0.001
17,0.13847651910842526,0.9148437500000001,0.001
18,0.13796975416233218,0.9099826388888889,0.001
19,0.13467505805516666,0.9136284722222221,0.001
20,0.12754818565821224,0.9082465277777778,0.001
21,0.1260565223205484,0.90546875,0.001
22,0.12944953073451235,0.91015625,0.001
23,0.11258240286782194,0.9144965277777777,0.001
24,0.12017194212013832,0.9025173611111111,0.001
25,0.13594667321549725,0.9046006944444445,0.001
26,0.11019361184071039,0.90390625,0.001
27,0.11243729771093558,0.8848090277777778,0.0005
28,0.11165671058131842,0.9092881944444444,0.0005
29,0.0995020171385685,0.9120659722222223,0.0005
30,0.09426078211715203,0.9089409722222221,0.0005
31,0.08824141115026013,0.869357638888889,0.0005
32,0.08335813861956426,0.9066840277777777,0.0005
33,0.09166807467094208,0.8856770833333334,0.0005
34,0.08318275453063065,0.9113715277777779,0.0005
35,0.0854881185725445,0.9110243055555555,0.0005
36,0.08423160968239374,0.9110243055555555,0.0005
37,0.07917868895764266,0.8926215277777778,0.0005
38,0.07874606616093609,0.9039062499999999,0.00025
39,0.07316294159863437,0.8978298611111112,0.00025
40,0.07094836851188548,0.9070312500000001,0.00025
41,0.07047524519321573,0.8947048611111111,0.00025
42,0.07350746203811113,0.8901909722222222,0.00025
43,0.06504289294965092,0.8959201388888889,0.00025
44,0.065754040431127,0.9035590277777777,0.00025
45,0.0652369445772799,0.8879340277777777,0.00025
46,0.0647708963574344,0.8936631944444444,0.00025
